Density,Segment_Size,Dim,Dropout,Emb_Dropout,Layer_Dropout,Total_Test_Accuracy,Total_Test_Variance,Subject_1_Accuracy,Subject_2_Accuracy,Subject_3_Accuracy,Subject_4_Accuracy,Subject_5_Accuracy,Subject_6_Accuracy,Subject_7_Accuracy,Subject_8_Accuracy,Subject_9_Accuracy,Subject_1_Variance,Subject_2_Variance,Subject_3_Variance,Subject_4_Variance,Subject_5_Variance,Subject_6_Variance,Subject_7_Variance,Subject_8_Variance,Subject_9_Variance
20,2,128,0.2,0.2,0.1,0.6923694610595703,0.21299398396800057,0.6728070378303528,0.5236734747886658,0.508695662021637,0.7557002902030945,0.6849817037582397,0.7545816898345947,0.6823275685310364,0.8582608699798584,0.7706122398376465,0.22013773468759618,0.24943956684714702,0.24992438563327032,0.18461734342008937,0.2157817762213367,0.1851881716163236,0.2167566513079667,0.12164914933837429,0.17676901291128694
20,2,128,0.1,0.1,0.2,0.6920125484466553,0.2131312019857904,0.6438596844673157,0.5302040576934814,0.5213043689727783,0.767100989818573,0.6717948913574219,0.7549800872802734,0.6668103337287903,0.8552173972129822,0.7934693694114685,0.22930440135426283,0.2490877134527281,0.2495461247637051,0.1786570679795011,0.22048652202498356,0.18498515896573067,0.22217430885850178,0.12382060491493382,0.16387571845064555
20,2,256,0.2,0.2,0.2,0.6846497058868408,0.21590448461504308,0.6416666507720947,0.5159183740615845,0.5300000309944153,0.7524429559707642,0.6465201377868652,0.7426294684410095,0.670258641242981,0.8730434775352478,0.7734693884849548,0.2299305555555555,0.24974660558100786,0.24909999999999993,0.18627253339557975,0.2285318466637148,0.1911309344296123,0.22101200208085614,0.11083856332703214,0.17521449396084962
10,5,128,0.1,0.2,0.1,0.6845604777336121,0.2159374350991153,0.6394736766815186,0.5163265466690063,0.52173912525177,0.7570032477378845,0.6600732803344727,0.7549800872802734,0.6556034684181213,0.8578261137008667,0.7767347097396851,0.23054709141274238,0.24973344439816744,0.2495274102079395,0.1839493257222888,0.22437655140951843,0.18498515896573067,0.22578756688466114,0.12196049149338374,0.1734179092044981
10,2,128,0.1,0.2,0.1,0.6840249300003052,0.21613480348086775,0.6342105269432068,0.5069387555122375,0.49000000953674316,0.7501628398895264,0.6864469051361084,0.7617530226707458,0.6719827651977539,0.8586956858634949,0.7718367576599121,0.23198753462603872,0.24995185339441897,0.24989999999999998,0.18741854024976393,0.2152375585342618,0.18148537324804367,0.22042193073721764,0.1213374291115312,0.17610478967097043
10,2,128,0.2,0.1,0.2,0.683935821056366,0.21616764245737974,0.6407895088195801,0.5167347192764282,0.5147826075553894,0.7488599419593811,0.6589743494987488,0.754183292388916,0.6577585935592651,0.8708695769309998,0.7738775610923767,0.23017832409972297,0.2497199500208247,0.2497814744801512,0.18806873282475142,0.22472715318869166,0.1853908668116379,0.22511221759809755,0.11245576559546314,0.17499108704706373
5,2,128,0.2,0.1,0.1,0.6836680173873901,0.21626606380900665,0.6342105269432068,0.5191836953163147,0.5078260898590088,0.7351791262626648,0.6802197694778442,0.7561753392219543,0.6788793206214905,0.8517391681671143,0.7710204124450684,0.23198753462603877,0.24963198667221995,0.24993875236294896,0.19469076594977136,0.2175208308175341,0.1843742162822812,0.21800219233055884,0.12627958412098297,0.17654793835901708
20,2,128,0.2,0.1,0.2,0.6828648447990417,0.21656046766270795,0.6578947305679321,0.5346938967704773,0.5095652341842651,0.7521172761917114,0.6534798741340637,0.7462151646614075,0.6525862216949463,0.8517391681671143,0.76816326379776,0.22506925207756232,0.24879633486047484,0.24990850661625716,0.1864368852719922,0.2264439345758027,0.18937810510944272,0.22671744946492273,0.12627958412098297,0.17808846314035817
10,2,128,0.1,0.1,0.1,0.6823293566703796,0.2167560200641925,0.6438596844673157,0.513469398021698,0.4895652234554291,0.7449511289596558,0.6908425092697144,0.7513944506645203,0.6689655184745789,0.8452174067497253,0.7689796090126038,0.22930440135426283,0.2498185755935027,0.2498911153119093,0.18999893898078493,0.21357914368903383,0.18680084443104075,0.22145065398335312,0.1308249527410208,0.17764997917534361
20,2,256,0.2,0.2,0.1,0.6818384528160095,0.21693477265699218,0.6219298243522644,0.5351020693778992,0.5447826385498047,0.7462540864944458,0.6457875370979309,0.7334661483764648,0.6387931108474731,0.8926087021827698,0.7624489665031433,0.23513311788242536,0.24876784673052896,0.2479945179584122,0.18935893219026192,0.2287459914932443,0.19549356359422868,0.23073647443519615,0.09585841209829868,0.18112053311120366
