Density,Segment_Size,Dim,Dropout,Emb_Dropout,Layer_Dropout,Total_Test_Accuracy,Total_Test_Variance,Subject_1_Accuracy,Subject_2_Accuracy,Subject_3_Accuracy,Subject_4_Accuracy,Subject_5_Accuracy,Subject_6_Accuracy,Subject_7_Accuracy,Subject_8_Accuracy,Subject_9_Accuracy,Subject_1_Variance,Subject_2_Variance,Subject_3_Variance,Subject_4_Variance,Subject_5_Variance,Subject_6_Variance,Subject_7_Variance,Subject_8_Variance,Subject_9_Variance
20,2,256,0.1,0.1,0.1,0.5907630920410156,0.24176206835373623,0.5394737124443054,0.5644897818565369,0.5469565391540527,0.6589576601982117,0.7124541997909546,0.5549800992012024,0.5659482479095459,0.6143478155136108,0.522857129573822,0.24844182825484762,0.2458410662224073,0.24779508506616257,0.2247324640049231,0.2048632076104603,0.24697719083824074,0.24565082491082044,0.23692457466918718,0.24947755102040817
10,2,256,0.1,0.1,0.1,0.5881749391555786,0.2422251831461898,0.5596491098403931,0.5534693598747253,0.5339130759239197,0.6328989863395691,0.7223443388938904,0.5390438437461853,0.5728448033332825,0.6560869812965393,0.4959183633327484,0.24644198214835325,0.24714102457309453,0.24884990548204156,0.23233784973845878,0.20056300232124405,0.24847557975270237,0.24469363109393583,0.2256368620037807,0.24998334027488547
10,2,128,0.1,0.2,0.2,0.5871486067771912,0.2424051224980242,0.5096491575241089,0.5526530742645264,0.5569565296173096,0.6736156344413757,0.672893762588501,0.5713147521018982,0.5504310131072998,0.6473913192749023,0.5126530528068542,0.24990689442905506,0.24722765514369016,0.24675595463137998,0.21985761122133923,0.2201077432945565,0.24491420771098873,0.24745671076099882,0.22827580340264653,0.24983990004164933
10,5,128,0.1,0.2,0.1,0.5862561464309692,0.242559879062086,0.5328947305679321,0.541224479675293,0.5165217518806458,0.6635178923606873,0.7340659499168396,0.5581673383712769,0.5599138140678406,0.6082608699798584,0.5179591774940491,0.24891793628808864,0.24830054144106622,0.24972703213610584,0.22326189137285277,0.19521313850984184,0.24661656164187873,0.24641033739595716,0.238279584120983,0.24967746772178265
10,2,256,0.2,0.2,0.2,0.5855867862701416,0.24267490110175446,0.5162280797958374,0.5334693789482117,0.5143478512763977,0.6592833995819092,0.7289377450942993,0.5533864498138428,0.5814655423164368,0.6286956667900085,0.513469398021698,0.24973664973838103,0.24887980008329866,0.24979413988657845,0.224628802427612,0.19758751626883495,0.2471498865097379,0.24336336950059453,0.2334374291115312,0.24981857559350276
10,2,128,0.1,0.1,0.1,0.5852743983268738,0.2427282714078088,0.5390350818634033,0.549795925617218,0.5356521606445312,0.6583061814308167,0.6641025543212891,0.537051796913147,0.5896551609039307,0.6447826027870178,0.5204081535339355,0.24847626192674668,0.24752036651395248,0.2487289224952741,0.22493915054801641,0.22307034845496385,0.24862716464818016,0.24196195005945306,0.22903799621928164,0.24958350687213662
20,5,256,0.2,0.2,0.1,0.5847389101982117,0.24281930936597793,0.5350877046585083,0.5661224722862244,0.5291304588317871,0.6495113968849182,0.7161172032356262,0.5529880523681641,0.548275887966156,0.6134783029556274,0.5142857432365417,0.24876885195444748,0.24562782174094128,0.24915141776937622,0.2276463410752369,0.20329334889774447,0.24719226678941605,0.24766944114149822,0.23712268431001893,0.24979591836734702
20,2,256,0.2,0.2,0.1,0.5832663774490356,0.24306670680938836,0.5412280559539795,0.5346938967704773,0.5456522107124329,0.6482084393501282,0.675091564655304,0.5549800992012024,0.5568965673446655,0.6356521844863892,0.5273469090461731,0.2483002462296091,0.24879633486047484,0.24791587901701326,0.2280342497002621,0.2193429403319513,0.24697719083824074,0.2467627824019025,0.23159848771266534,0.24925214493960846
10,5,128,0.1,0.1,0.1,0.5825077891349792,0.2431924614517369,0.5302631855010986,0.5485714077949524,0.4930434823036194,0.637785017490387,0.7271062135696411,0.5390438437461853,0.5711206793785095,0.6360869407653809,0.5236734747886658,0.24908414127423828,0.24764081632653062,0.24995160680529302,0.23101528928688905,0.19842276160957475,0.24847557975270237,0.24494184750297263,0.23148034026465023,0.24943956684714697
10,2,256,0.2,0.1,0.1,0.582284688949585,0.24322922907854333,0.527193009853363,0.549795925617218,0.5339130759239197,0.6560260653495789,0.6358974575996399,0.5422310829162598,0.5793103575706482,0.6500000357627869,0.5395918488502502,0.24926054170514003,0.2475203665139525,0.24884990548204156,0.22565586902778811,0.23153188691650228,0.2482165362454564,0.24370986920332935,0.2275,0.24843248646397328
